Date : 2021-02-08 14:55:03
Directory : /Users/meldiron/Desktop/eteam
Total : 1599 files,  374892 codes, 24393 comments, 31280 blanks, all 430565 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
+-----------------------+------------+------------+------------+------------+------------+
| JSON                  |        305 |    157,998 |        933 |        267 |    159,198 |
| JavaScript            |        364 |     73,850 |     16,527 |      9,333 |     99,710 |
| TypeScript            |        504 |     53,949 |      4,955 |     12,566 |     71,470 |
| CSS                   |         65 |     43,043 |        681 |      6,537 |     50,261 |
| XML                   |         45 |     18,604 |         56 |        139 |     18,799 |
| HTML                  |        127 |     18,370 |        730 |        889 |     19,989 |
| SCSS                  |        166 |      6,905 |        430 |        996 |      8,331 |
| Log                   |          1 |      1,797 |          0 |        336 |      2,133 |
| Markdown              |         14 |        308 |          0 |        201 |        509 |
| Docker                |          5 |         36 |          0 |          5 |         41 |
| YAML                  |          1 |         15 |         56 |          1 |         72 |
| OpenVPN Configuration |          1 |         13 |         25 |          7 |         45 |
| Shell Script          |          1 |          4 |          0 |          3 |          7 |
+-----------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |      1,599 |    374,892 |     24,393 |     31,280 |    430,565 |
| AngularClient                                                                                                                                      |        206 |     43,191 |      1,923 |      2,702 |     47,816 |
| AngularClient/e2e                                                                                                                                  |          4 |         64 |          7 |         11 |         82 |
| AngularClient/e2e/src                                                                                                                              |          2 |         27 |          1 |          8 |         36 |
| AngularClient/src                                                                                                                                  |        191 |     27,571 |      1,844 |      2,669 |     32,084 |
| AngularClient/src/app                                                                                                                              |         96 |      3,588 |        451 |        423 |      4,462 |
| AngularClient/src/app/about                                                                                                                        |          4 |        101 |         10 |         14 |        125 |
| AngularClient/src/app/blog                                                                                                                         |          4 |        224 |          5 |         23 |        252 |
| AngularClient/src/app/client                                                                                                                       |          4 |         65 |          7 |         15 |         87 |
| AngularClient/src/app/clients                                                                                                                      |          4 |         92 |         38 |         13 |        143 |
| AngularClient/src/app/contact                                                                                                                      |          4 |        177 |         16 |         17 |        210 |
| AngularClient/src/app/counters                                                                                                                     |          4 |         94 |          2 |         11 |        107 |
| AngularClient/src/app/empty                                                                                                                        |          4 |         46 |          5 |         15 |         66 |
| AngularClient/src/app/footer                                                                                                                       |          4 |         56 |         39 |         14 |        109 |
| AngularClient/src/app/header                                                                                                                       |          4 |        389 |         90 |         32 |        511 |
| AngularClient/src/app/lib                                                                                                                          |          4 |         95 |          2 |         14 |        111 |
| AngularClient/src/app/lib/modal                                                                                                                    |          4 |         95 |          2 |         14 |        111 |
| AngularClient/src/app/map                                                                                                                          |          4 |         36 |          3 |         13 |         52 |
| AngularClient/src/app/more-features                                                                                                                |          4 |         80 |         23 |         13 |        116 |
| AngularClient/src/app/pages                                                                                                                        |          4 |        275 |          6 |         22 |        303 |
| AngularClient/src/app/pages/calc                                                                                                                   |          4 |        275 |          6 |         22 |        303 |
| AngularClient/src/app/parralax                                                                                                                     |          4 |        115 |         10 |         12 |        137 |
| AngularClient/src/app/portfolio                                                                                                                    |          4 |         98 |         10 |         12 |        120 |
| AngularClient/src/app/pricing-new                                                                                                                  |          4 |        176 |          6 |         19 |        201 |
| AngularClient/src/app/service                                                                                                                      |          4 |        104 |          2 |         18 |        124 |
| AngularClient/src/app/slider                                                                                                                       |          4 |        465 |         18 |         25 |        508 |
| AngularClient/src/app/slider-new                                                                                                                   |          4 |        220 |          7 |         24 |        251 |
| AngularClient/src/app/team                                                                                                                         |          4 |         96 |          8 |         11 |        115 |
| AngularClient/src/assets                                                                                                                           |         86 |     20,665 |        771 |      1,371 |     22,807 |
| AngularClient/src/assets/agency                                                                                                                    |          5 |      5,416 |        296 |        540 |      6,252 |
| AngularClient/src/assets/agency/css                                                                                                                |          1 |      3,434 |        136 |        440 |      4,010 |
| AngularClient/src/assets/agency/js                                                                                                                 |          2 |        569 |         44 |         31 |        644 |
| AngularClient/src/assets/i18n                                                                                                                      |          1 |        320 |          0 |          0 |        320 |
| AngularClient/src/assets/icons                                                                                                                     |         16 |      1,972 |         15 |         15 |      2,002 |
| AngularClient/src/assets/technologies                                                                                                              |          2 |         81 |          2 |          2 |         85 |
| AngularClient/src/assets/vendor                                                                                                                    |         60 |     12,550 |        458 |        813 |     13,821 |
| AngularClient/src/assets/vendor/css                                                                                                                |         15 |      2,892 |         84 |        455 |      3,431 |
| AngularClient/src/assets/vendor/fonts                                                                                                              |          6 |      5,038 |         12 |        111 |      5,161 |
| AngularClient/src/assets/vendor/img                                                                                                                |          1 |          1 |          0 |          1 |          2 |
| AngularClient/src/assets/vendor/js                                                                                                                 |         38 |      4,619 |        362 |        246 |      5,227 |
| AngularClient/src/assets/vendor/js/extensions                                                                                                      |         11 |      3,061 |         69 |          6 |      3,136 |
| AngularClient/src/environments                                                                                                                     |          2 |          8 |         11 |          4 |         23 |
| AngularClient/src/services                                                                                                                         |          2 |      3,222 |        540 |        845 |      4,607 |
| AngularCompany                                                                                                                                     |        387 |    110,516 |     10,914 |     12,301 |    133,731 |
| AngularCompany/e2e                                                                                                                                 |          4 |         69 |          3 |         10 |         82 |
| AngularCompany/e2e/src                                                                                                                             |          2 |         32 |          1 |          8 |         41 |
| AngularCompany/src                                                                                                                                 |        375 |     97,190 |     10,873 |     12,264 |    120,327 |
